Xact CAT, Xact Category Name,Xact SEL,Xact Description,Xact Unit,Xact Activity
WTR,Water Extraction & remediation,DRYED,Dryer - electric - Detach,EA,+
WTR,Water Extraction & remediation,DRYEDA,Dryer - electric - Detach - after hours,EA,+
WTR,Water Extraction & remediation,DRYGD,Dryer - gas - Detach,EA,+
WTR,Water Extraction & remediation,DRYGDA,Dryer - gas - Detach - after hours,EA,+
WTR,Water Extraction & remediation,HTBL,Drying blanket/mat (per 24 hr period) - No monitoring,EA,+
WTR,Water Extraction & remediation,FURN10,Drying furnace - ind. fired heater w/ducting - 100 kBtuh,DA,+
WTR,Water Extraction & remediation,FURN17,Drying furnace - ind. fired heater w/ducting - 170 kBtuh,DA,+
WTR,Water Extraction & remediation,FURN25,Drying furnace - ind. fired heater w/ducting - 250 kBtuh,DA,+
WTR,Water Extraction & remediation,FURN40,Drying furnace - ind. fired heater w/ducting - 400 kBtuh,DA,+
WTR,Water Extraction & remediation,FURN,Drying furnace - ind. fired heater w/ducting - 85 kBtuh,DA,+
WTR,Water Extraction & remediation,DUCT6,"Ducting - flexible - 6"" round",LF,+
WTR,Water Extraction & remediation,DUCTLF,Ducting - lay-flat,LF,+
WTR,Water Extraction & remediation,DUCTLF>,Ducting - lay-flat - Large,LF,+
WTR,Water Extraction & remediation,ESRV,Emergency service call - after business hours,EA,+
WTR,Water Extraction & remediation,ESRVD,Emergency service call - during business hours,EA,+
WTR,Water Extraction & remediation,EQA,"Equip. setup, take down & monitoring - after hrs",HR,+
WTR,Water Extraction & remediation,EQDH,"Equipment decontamination charge - HVY, per piece of equip",EA,+
WTR,Water Extraction & remediation,EQD,Equipment decontamination charge - per piece of equipment,EA,+
WTR,Water Extraction & remediation,EQ,"Equipment setup, take down, and monitoring (hourly charge)",HR,+
WTR,Water Extraction & remediation,PPEE,Eye protection - plastic goggles - Disposable,EA,+
WTR,Water Extraction & remediation,PPES,Face shield - Disposable,EA,+
WTR,Water Extraction & remediation,WALLF,Fill holes created by wall cavity drying,EA,+
WTR,Water Extraction & remediation,MASKFP+,"Floor prot. - cloth - skid resist, leak proof, cleanable",SF,+
WTR,Water Extraction & remediation,MASKFLP,Floor protection - cloth - skid resistant leak proof,SF,+
WTR,Water Extraction & remediation,MASKFPB,"Floor protection - cloth - skid resistant, breathable",SF,+
WTR,Water Extraction & remediation,MASKFPN,Floor protection - neoprene - reusable,SF,+
WTR,Water Extraction & remediation,MASKFL,Floor protection - self-adhesive plastic film,SF,+
WTR,Water Extraction & remediation,MASKFLA,Floor protection - self-adhesive plastic film - after hrs,SF,+
WTR,Water Extraction & remediation,GDD,Garbage disposal / disposer - Detach,EA,+
WTR,Water Extraction & remediation,GDDA,Garbage disposal / disposer - Detach - after hours,EA,+
WTR,Water Extraction & remediation,HDRY,Hang dry carpet in plant,SF,+
WTR,Water Extraction & remediation,HDRY+,Hang dry custom oriental rug in plant,SF,+
WTR,Water Extraction & remediation,HEATA,Heat drying - ducted air - 200 kBtu - 2300+ cfm,DA,+
WTR,Water Extraction & remediation,HEATA>,Heat drying - ducted air - 400 kBtu - 5200+ cfm,DA,+
WTR,Water Extraction & remediation,HEAT,Heat drying - hydronic boiler/power unit - 200 kBtu,DA,+
WTR,Water Extraction & remediation,HEAT>,Heat drying - hydronic boiler/power unit - 250 kBtu,DA,+
WTR,Water Extraction & remediation,HEAT>>,Heat drying - hydronic boiler/power unit - 300 kBtu,DA,+
WTR,Water Extraction & remediation,HTX,Heat drying - thermal air exchanger,DA,+
WTR,Water Extraction & remediation,HTAM,Heat drying - thermal air mover - Electric,DA,+
WTR,Water Extraction & remediation,HTAM>,Heat drying - thermal air mover - Electric - Large,DA,+
WTR,Water Extraction & remediation,HEATX,Heat drying - thermal exchanger with air mover - 50 kBtu,DA,+
WTR,Water Extraction & remediation,HEATX>,Heat drying - thermal exchanger with air mover - 80 kBtu,DA,+
WTR,Water Extraction & remediation,HEPAVAS,HEPA Vacuuming - Detailed - (PER SF),SF,+
WTR,Water Extraction & remediation,HEPAVAC,HEPA Vacuuming - hourly charge,HR,+
WTR,Water Extraction & remediation,HEPAVAL,HEPA Vacuuming - Light - (PER SF),SF,+
WTR,Water Extraction & remediation,HEPAF,HEPA Vacuuming exposed framing - Floor - (PER SF),SF,+
WTR,Water Extraction & remediation,HEPAW,HEPA Vacuuming exposed framing - Walls - (PER SF),SF,+
WTR,Water Extraction & remediation,HEPAFSH,HEPA Vacuuming exposed framing w/ sheathing - Floor,SF,+
WTR,Water Extraction & remediation,HEPAWSH,HEPA Vacuuming exposed framing w/ sheathing - Walls,SF,+
WTR,Water Extraction & remediation,HTIP,Infrared heat panel (per 24 hr period) - No monitoring,EA,+
WTR,Water Extraction & remediation,DORSLD,Interior door slab only - Detach,EA,+
WTR,Water Extraction & remediation,DORSLDA,Interior door slab only - Detach - after hours,EA,+
WTR,Water Extraction & remediation,LIFT,Lift carpet for drying,SF,+
WTR,Water Extraction & remediation,LIFTA,Lift carpet for drying - after hours,SF,+
WTR,Water Extraction & remediation,MASKV,Mask and cover register / air return,EA,+
WTR,Water Extraction & remediation,MASKV>,Mask and cover register / air return - Large,EA,+
WTR,Water Extraction & remediation,CABMCD,Medicine cabinet - Detach,EA,+
WTR,Water Extraction & remediation,CABMCDA,Medicine cabinet - Detach - after hours,EA,+
WTR,Water Extraction & remediation,DRY-,Mini air mover (per 24 hour period) - No monitoring,EA,+
WTR,Water Extraction & remediation,MUCK,Muck-out/Flood loss cleanup,SF,-
WTR,Water Extraction & remediation,MUCKCS,Muck-out/Flood loss cleanup - confined space,SF,-
WTR,Water Extraction & remediation,MUCKCS+,Muck-out/Flood loss cleanup - confined space - Heavy,SF,-
WTR,Water Extraction & remediation,MUCKCS-,Muck-out/Flood loss cleanup - confined space - Light,SF,-
WTR,Water Extraction & remediation,MUCK+,Muck-out/Flood loss cleanup - Heavy,SF,-
WTR,Water Extraction & remediation,MUCK-,Muck-out/Flood loss cleanup - Light,SF,-
WTR,Water Extraction & remediation,MUCKHR,Muck-out/Flood loss cleanup - per hour (Labor only),HR,-
WTR,Water Extraction & remediation,DRYMA,Multi-port air mover adapter (per 24 hr period)- No monit.,EA,+
WTR,Water Extraction & remediation,NAFAN>,Neg. air fan/Air scrub.-Large (per 24 hr period)-No monit.,DA,+
WTR,Water Extraction & remediation,NAFAN>>,Neg. air fan/Air scrub.-XLrg (per 24 hr period)-No monit.,DA,+
WTR,Water Extraction & remediation,NAFAN,Negative air fan/Air scrubber (24 hr period) - No monit.,DA,+
WTR,Water Extraction & remediation,PPERCPM,PAPR cartridge - HEPA & vapor & gas (single cartridge),EA,+
WTR,Water Extraction & remediation,PPERCP,PAPR cartridge - HEPA only (single cartridge),EA,+
WTR,Water Extraction & remediation,PPERCPV,PAPR cartridge - vapor only (single cartridge),EA,+
WTR,Water Extraction & remediation,SNKPD,Pedestal sink - Detach,EA,+
WTR,Water Extraction & remediation,SNKPDA,Pedestal sink - Detach - after hours,EA,+
WTR,Water Extraction & remediation,BARRZ,Peel & seal zipper,EA,+
WTR,Water Extraction & remediation,BARRZA,Peel & seal zipper - after hours,EA,+
WTR,Water Extraction & remediation,BARRZ+,Peel & seal zipper - heavy duty,EA,+
WTR,Water Extraction & remediation,BARRZA+,Peel & seal zipper - heavy duty - after hours,EA,+
WTR,Water Extraction & remediation,MR,Per job charge for 3rd party monitoring/review (Bid Item),EA,+
WTR,Water Extraction & remediation,PPEG6,Personal protective gloves - Disposable (per pair),EA,+
WTR,Water Extraction & remediation,PPEGHD,Personal protective gloves - Heavy duty (per pair),EA,+
WTR,Water Extraction & remediation,PPEM,Personal protective mask (N-95),EA,+
WTR,Water Extraction & remediation,HBAG>,Plastic bag - for hazardous material cleanup - Large,EA,+
WTR,Water Extraction & remediation,HBAG,Plastic bag - for hazardous material cleanup - Medium,EA,+
WTR,Water Extraction & remediation,HBAG<,Plastic bag - for hazardous material cleanup - Small,EA,+
WTR,Water Extraction & remediation,BAG,Plastic bag - used for disposal of contaminated items,EA,+
WTR,Water Extraction & remediation,HC14,Plastic container - hazardous material cleanup - 14 gl,EA,+
WTR,Water Extraction & remediation,HC30,Plastic container - hazardous material cleanup - 30 gl,EA,+
WTR,Water Extraction & remediation,HC60,Plastic container - hazardous material cleanup - 60 gl,EA,+
WTR,Water Extraction & remediation,HCON>,Plastic container - hazardous material cleanup - Large,EA,+
WTR,Water Extraction & remediation,HCON,Plastic container - hazardous material cleanup - Medium,EA,+
WTR,Water Extraction & remediation,HCON<,Plastic container - hazardous material cleanup - Small,EA,+
WTR,Water Extraction & remediation,HBAGG,Plastic glove bag - for hazardous material cleanup,EA,+
WTR,Water Extraction & remediation,HBAGG>,Plastic glove bag - for hazardous material cleanup - Large,EA,+
WTR,Water Extraction & remediation,POWD>,Power distribution box - 100+ amp (per day),DA,+
WTR,Water Extraction & remediation,POWDW>,Power distribution box - 100+ amp (per week),WK,+
WTR,Water Extraction & remediation,POWD,Power distribution box - below 100 amp (per day),DA,+
WTR,Water Extraction & remediation,POWDW,Power distribution box - below 100 amp (per week),WK,+
WTR,Water Extraction & remediation,PPPAPR,Powered Air-Purifying Respirator (PAPR) - (per day),DA,+
WTR,Water Extraction & remediation,PATCHJ,Precisely cut & remove drywall - per LF,LF,-
WTR,Water Extraction & remediation,PROT,Protect - Cover with plastic,SF,+
WTR,Water Extraction & remediation,PROTA,Protect - Cover with plastic - after hours,SF,+
WTR,Water Extraction & remediation,EXTWPA,Pumping & hauling of standing Cat 3 water - after hours,GL,+
WTR,Water Extraction & remediation,EXTWP,Pumping & hauling of standing Category 3 water,GL,+
WTR,Water Extraction & remediation,EXTWPTM,Pumping of standing water - truck mounted (per hour),HR,+
WTR,Water Extraction & remediation,RGED,Range - freestanding - electric - Detach,EA,+
WTR,Water Extraction & remediation,RGEDA,Range - freestanding - electric - Detach - after hours,EA,+
WTR,Water Extraction & remediation,RGGD,Range - freestanding - gas - Detach,EA,+
WTR,Water Extraction & remediation,RGGDA,Range - freestanding - gas - Detach - after hours,EA,+
WTR,Water Extraction & remediation,RFD,Refrigerator - Detach,EA,+
WTR,Water Extraction & remediation,RFDA,Refrigerator - Detach - after hours,EA,+
WTR,Water Extraction & remediation,RMG,Remote monitoring - additional gateway (per 24 hr period),DA,+
WTR,Water Extraction & remediation,RMS,Remote monitoring - each additional sensor (per 24 hr prd),DA,+
WTR,Water Extraction & remediation,RM,Remote monitoring sys. w/up to 10 sensors (per 24 hr prd),DA,+
WTR,Water Extraction & remediation,CSV,Remove polyethylene vapor barrier,SF,-
WTR,Water Extraction & remediation,CSVS,Remove polyethylene vapor barrier - Category 3,SF,-
